index,lensName,survey,zl,zs,theta_E,theta_eff,theta_ap,sigma_ap,sigma_ap_err,gamma_E2022LD,gamma_E2022LD_err,gamma_E2022OL,gamma_E2022OL_err_up,gamma_E2022OL_err_low
37,b'SDSSJ0216-0813',b' SLACS',0.332,0.523,1.16,2.67,1.5,333.0,23.0,2.09,0.2,1.99,0.05,-0.06
38,b'SDSSJ0252+0039',b' SLACS',0.28,0.982,1.04,1.39,1.5,164.0,12.0,1.57,0.12,1.92,0.08,-0.11
39,b'SDSSJ0330-0020',b' SLACS',0.351,1.071,1.1,1.2,1.5,212.0,21.0,1.91,0.18,2.15,0.02,-0.02
40,b'SDSSJ0405-0455',b' SLACS',0.075,0.81,0.8,1.36,1.5,160.0,7.0,1e+20,1e+20,1e+20,1e+20,1e+20
41,b'SDSSJ0728+3835',b' SLACS',0.206,0.688,1.25,1.78,1.5,214.0,11.0,1.86,0.1,1.99,0.12,-0.1
42,b'SDSSJ0737+3216',b' SLACS',0.322,0.581,1.0,2.82,1.5,338.0,16.0,1e+20,1e+20,2.28,0.07,-0.07
43,b'SDSSJ0822+2652',b' SLACS',0.241,0.594,1.17,1.82,1.5,259.0,15.0,2.12,0.14,2.1,0.08,-0.07
44,b'SDSSJ0903+4116',b' SLACS',0.43,1.065,1.29,1.78,1.5,223.0,27.0,1e+20,1e+20,2.23,0.05,-0.05
45,b'SDSSJ0912+0029',b' SLACS',0.164,0.324,1.63,3.87,1.5,326.0,12.0,1.98,0.09,2.14,0.05,-0.05
46,b'SDSSJ0935-0003',b' SLACS',0.347,0.467,0.87,4.24,1.5,396.0,35.0,1e+20,1e+20,1e+20,1e+20,1e+20
47,b'SDSSJ0936+0913',b' SLACS',0.19,0.588,1.09,2.11,1.5,243.0,11.0,2.24,0.12,2.13,0.08,-0.08
48,b'SDSSJ0946+1006',b' SLACS',0.222,0.609,1.38,2.35,1.5,263.0,21.0,2.01,0.18,2.06,0.03,-0.03
49,b'SDSSJ0956+5100',b' SLACS',0.241,0.47,1.33,2.19,1.5,334.0,15.0,2.3,0.09,2.05,0.02,-0.02
50,b'SDSSJ0959+4416',b' SLACS',0.237,0.531,0.96,1.98,1.5,244.0,19.0,1e+20,1e+20,2.5,0.19,-0.23
51,b'SDSSJ0959+0410',b' SLACS',0.126,0.535,0.99,1.39,1.5,197.0,13.0,2.05,0.15,2.08,0.07,-0.07
52,b'SDSSJ1016+3859',b' SLACS',0.168,0.439,1.09,1.46,1.5,247.0,13.0,1e+20,1e+20,2.23,0.15,-0.2
53,b'SDSSJ1020+1122',b' SLACS',0.282,0.553,1.2,1.59,1.5,282.0,18.0,2.08,0.12,2.15,0.11,-0.12
54,b'SDSSJ1023+4230',b' SLACS',0.191,0.696,1.41,1.77,1.5,242.0,15.0,2.01,0.11,1.95,0.16,-0.12
55,b'SDSSJ1029+0420',b' SLACS',0.104,0.615,1.01,1.56,1.5,210.0,9.0,2.28,0.1,1.43,0.05,-0.06
56,b'SDSSJ1100+5329',b' SLACS',0.317,0.858,1.52,2.24,1.5,187.0,23.0,1e+20,1e+20,1e+20,1e+20,1e+20
57,b'SDSSJ1106+5228',b' SLACS',0.095,0.407,1.23,1.68,1.5,262.0,9.0,1e+20,1e+20,1e+20,1e+20,1e+20
58,b'SDSSJ1112+0826',b' SLACS',0.273,0.629,1.49,1.5,1.5,320.0,20.0,1e+20,1e+20,1e+20,1e+20,1e+20
59,b'SDSSJ1134+6027',b' SLACS',0.153,0.474,1.1,2.02,1.5,239.0,11.0,1e+20,1e+20,1e+20,1e+20,1e+20
